filtros,kernel,densa,dropout,parametros,pr_auc_val_media,pr_auc_val_std,f1_val_media,epochs_medios,referencia
64-128-128,5,100,0.3,181961,0.3483232239402594,0.040653552706531614,0.35740657692547456,22.0,False
64-128,5,50,0.5,125413,0.34727689105346443,0.028995201947974673,0.4179733816736592,21.666666666666668,False
64-128-128,3,100,0.1,142665,0.3368508693225425,0.03209931508154414,0.37994582764134116,15.0,False
64-128-256,3,100,0.3,255945,0.33580845068283754,0.022785391424121258,0.37127992180682035,15.333333333333334,False
64-128-128,3,100,0.3,142665,0.33100606743737043,0.025572980015671386,0.35755956561325686,16.0,True
64-128-128,3,100,0.5,142665,0.32501236774169423,0.04564739413129196,0.3772225930577083,15.333333333333334,False
64-128-128,3,50,0.3,110565,0.31793218645606963,0.0495839455122645,0.3490688791738428,19.333333333333332,False
64-128-128,3,200,0.3,206865,0.3151557961854808,0.03720256304248595,0.3590600747881316,14.666666666666666,False
32-64-64,3,100,0.3,53001,0.30330235886654017,0.024055893124743866,0.3412796139482183,18.333333333333332,False
32-64,3,100,0.3,91849,0.30090588058254836,0.04316039198709957,0.342676213435461,16.666666666666668,False
