modelo,ratio,delta test,p test,delta val,p val
cgan,0.25,0.010394851059501276,0.8550423854619975,0.004902238099956269,0.6532394377123251
cgan,0.5,0.02712861033571945,0.6359873914365888,-0.005857204102594826,0.7669489094534223
cgan,1.0,0.03622464992304292,0.5433617601901038,-0.008516818980270069,0.42627626344360886
cgan,2.0,0.044631549255941705,0.442657874596776,0.00983243977567505,0.3655821128381858
cgan,4.0,0.025759195731251627,0.6599588041133402,-0.011252402479139167,0.4881001175729743
cvae,0.25,0.046598696477648,0.32928600794415586,-0.015257426936774954,0.2970572792439791
cvae,0.5,0.0005470871725779258,0.9896299064165179,-0.02536175114192757,0.1711675576332746
cvae,1.0,0.00016928229732168787,0.9966011002507632,-0.01821182104402458,0.2244168078853026
cvae,2.0,0.0034237265511968817,0.9464397892884973,-0.038636337647147856,0.17598918565885452
cvae,4.0,-0.01602011971571718,0.7641396760383801,-0.05727204107159589,0.07400294616309892
ruido,0.25,0.014159213179861685,0.436743815247043,0.00012971808608502888,0.9903329538234691
ruido,0.5,-0.042075632357375076,0.32488121684800275,-0.028635520230315292,0.12280959434646917
ruido,1.0,-0.010828724456128036,0.6790104518677373,-0.016145553773568855,0.25641596249163306
ruido,2.0,-0.06423355030427663,0.06933947087679725,-0.03172769188802127,0.09735520249528432
ruido,4.0,-0.10630577383258422,0.06321223616546451,-0.05384003528283965,0.025606003755407402
