modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
cvae,0.0,42,3000,0,0.33689770340312153,0.3280489171265861,0.6254672373742733,0.2770083102493075,0.3492723492723493,0.423728813559322,0.205761316872428,0.8699999999999999,2026,68,193,50,14
cvae,0.0,43,3000,0,0.28417715142831645,0.3579290673929324,0.6615884695052687,0.2658959537572254,0.39373601789709173,0.18488745980707397,0.4732510288065844,0.38999999999999996,1587,507,128,115,19
cvae,0.0,44,3000,0,0.13568977154335488,0.30704021779259266,0.5467669728520838,0.1686746987951807,0.32967032967032966,0.125,0.25925925925925924,0.27999999999999997,1653,441,180,63,15
cvae,0.0,45,3000,0,0.11988369707406951,0.3166186609270124,0.5356279552395439,0.170873786407767,0.32671081677704195,0.11181702668360864,0.36213991769547327,0.19,1395,699,155,88,16
cvae,0.0,46,3000,0,0.24974836241098497,0.34712597149530205,0.6052684330302923,0.2315202231520223,0.4116575591985428,0.1751054852320675,0.34156378600823045,0.5599999999999999,1703,391,160,83,16
cvae,0.25,42,3000,750,0.33505929279408314,0.3301402350001386,0.6176887914126585,0.2857142857142857,0.3582089552238806,0.4672897196261682,0.205761316872428,0.7999999999999999,2037,57,193,50,13
cvae,0.25,43,3000,750,0.22036167261534234,0.32741813613370546,0.5972128873009697,0.2571428571428571,0.37318840579710144,0.19693654266958424,0.37037037037037035,0.5299999999999999,1727,367,153,90,14
cvae,0.25,44,3000,750,0.2724244601933932,0.3031570252512947,0.5616714029109232,0.24887556221889057,0.3364737550471063,0.1957547169811321,0.34156378600823045,0.6399999999999999,1753,341,160,83,13
cvae,0.25,45,3000,750,0.1689308663805283,0.2840202031511051,0.5949685757071941,0.2563291139240506,0.2886178861788618,0.20822622107969152,0.3333333333333333,0.59,1786,308,162,81,15
cvae,0.25,46,3000,750,0.2899095026504091,0.3135186012977087,0.5793075257152515,0.2608695652173913,0.3201581027667984,0.34459459459459457,0.20987654320987653,0.6499999999999999,1997,97,192,51,13
cvae,0.5,42,3000,1500,0.3140573924587388,0.32739483326502095,0.6291078566627755,0.2647058823529412,0.3597122302158273,0.32727272727272727,0.2222222222222222,0.6399999999999999,1983,111,189,54,13
cvae,0.5,43,3000,1500,0.23438457030838677,0.3153249963000585,0.5904445780812119,0.267515923566879,0.35733333333333334,0.1937269372693727,0.43209876543209874,0.61,1657,437,138,105,14
cvae,0.5,44,3000,1500,0.25406342283515565,0.29745098170515755,0.5418577868965219,0.17715617715617715,0.32233883058470764,0.10919540229885058,0.4691358024691358,0.49999999999999994,1164,930,129,114,13
