modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
diffusion,0.0,42,3000,0,0.33689770340312153,0.3280489171265861,0.6254672373742733,0.2770083102493075,0.3492723492723493,0.423728813559322,0.205761316872428,0.8699999999999999,2026,68,193,50,14
diffusion,0.0,43,3000,0,0.28417715142831645,0.3579290673929324,0.6615884695052687,0.2658959537572254,0.39373601789709173,0.18488745980707397,0.4732510288065844,0.38999999999999996,1587,507,128,115,19
diffusion,0.0,44,3000,0,0.13568977154335488,0.30704021779259266,0.5467669728520838,0.1686746987951807,0.32967032967032966,0.125,0.25925925925925924,0.27999999999999997,1653,441,180,63,15
diffusion,0.0,45,3000,0,0.11988369707406951,0.3166186609270124,0.5356279552395439,0.170873786407767,0.32671081677704195,0.11181702668360864,0.36213991769547327,0.19,1395,699,155,88,16
diffusion,0.0,46,3000,0,0.24974836241098497,0.34712597149530205,0.6052684330302923,0.2315202231520223,0.4116575591985428,0.1751054852320675,0.34156378600823045,0.5599999999999999,1703,391,160,83,16
diffusion,0.25,42,3000,750,0.33602573986328865,0.3213546816815317,0.6312450623179691,0.29038112522686027,0.3663663663663664,0.2597402597402597,0.3292181069958848,0.6499999999999999,1866,228,163,80,13
diffusion,0.25,43,3000,750,0.2582256121543223,0.3600319008132038,0.6678399188746212,0.2803970223325062,0.42084168336673344,0.20071047957371227,0.46502057613168724,0.3,1644,450,130,113,17
diffusion,0.25,44,3000,750,0.21949153541052305,0.28509061152979287,0.5202420397687297,0.17204301075268819,0.3323216995447648,0.10576015108593012,0.4609053497942387,0.4799999999999999,1147,947,131,112,13
diffusion,0.25,45,3000,750,0.17696561815878378,0.2885545405737868,0.6266365590890688,0.23300970873786409,0.29684601113172543,0.15247776365946633,0.49382716049382713,0.05,1427,667,123,120,21
diffusion,0.25,46,3000,750,0.28025979805630435,0.2777784804827508,0.5541661262238573,0.16936104695919937,0.30352748154224773,0.10416666666666667,0.45267489711934156,0.5099999999999999,1148,946,133,110,13
diffusion,0.5,42,3000,1500,0.19373505785715664,0.29636487837986303,0.5362430774189237,0.17676767676767677,0.3515625,0.12750455373406194,0.2880658436213992,0.3499999999999999,1615,479,173,70,17
diffusion,0.5,43,3000,1500,0.2502186273707192,0.3057453793545618,0.6433195373023453,0.25588536335721596,0.31970260223048325,0.17029972752043596,0.51440329218107,0.06,1485,609,118,125,18
diffusion,0.5,44,3000,1500,0.21514741767991244,0.3120677107967861,0.5508979211621682,0.25205479452054796,0.3605015673981191,0.188911704312115,0.3786008230452675,0.61,1699,395,151,92,14
diffusion,0.5,45,3000,1500,0.14093028468957375,0.27054727462913625,0.5960121216409022,0.20869565217391303,0.3050847457627119,0.1610738255033557,0.2962962962962963,0.3999999999999999,1719,375,171,72,15
diffusion,0.5,46,3000,1500,0.2974099506276858,0.2855079080275846,0.5736918336143636,0.2152284263959391,0.3244397011739594,0.14285714285714285,0.43621399176954734,0.5299999999999999,1458,636,137,106,13
diffusion,1.0,42,3000,3000,0.1576904931028307,0.264463048644106,0.5564300902834278,0.20750551876379691,0.33840304182509506,0.14177978883861236,0.3868312757201646,0.20999999999999996,1525,569,149,94,18
diffusion,1.0,43,3000,3000,0.23385274225348246,0.3584082301345795,0.701970356220595,0.33766233766233766,0.4124168514412417,0.26,0.48148148148148145,0.18,1761,333,126,117,19
diffusion,1.0,44,3000,3000,0.2228799838075291,0.29851277775386875,0.5349519104161999,0.19851116625310175,0.33902759526938236,0.14209591474245115,0.3292181069958848,0.5199999999999999,1611,483,163,80,13
diffusion,1.0,45,3000,3000,0.12285634759421157,0.28718511501301835,0.5632553916539909,0.15970961887477314,0.29975429975429974,0.14285714285714285,0.18106995884773663,0.19999999999999996,1830,264,199,44,18
diffusion,1.0,46,3000,3000,0.20103788798622524,0.28322822511268797,0.5945165689939116,0.19250551065393093,0.34770114942528735,0.11717352415026834,0.5390946502057613,0.5099999999999999,1107,987,112,131,14
diffusion,2.0,42,3000,6000,0.1739659603708034,0.30875165828548223,0.6080099520086786,0.22199170124481327,0.35019455252918286,0.14840499306518723,0.4403292181069959,0.22999999999999998,1480,614,136,107,15
diffusion,2.0,43,3000,6000,0.20282150751111863,0.2786921668805694,0.5390062141096844,0.20546448087431693,0.34868421052631576,0.13988095238095238,0.3868312757201646,0.37999999999999995,1516,578,149,94,13
diffusion,2.0,44,3000,6000,0.14048752282828203,0.31501264330828144,0.5428207577204712,0.17755856966707767,0.3824175824175824,0.1267605633802817,0.2962962962962963,0.3999999999999999,1598,496,171,72,14
diffusion,2.0,45,3000,6000,0.16716739239275633,0.2920303801856949,0.5804512992245137,0.19047619047619047,0.3205298013245033,0.1206140350877193,0.45267489711934156,0.26999999999999996,1292,802,133,110,14
diffusion,2.0,46,3000,6000,0.13305597270007405,0.326527415290471,0.5904229603688376,0.19165927240461403,0.36741767764298094,0.12217194570135746,0.4444444444444444,0.14999999999999997,1318,776,135,108,16
diffusion,4.0,42,3000,12000,0.18264046969866055,0.32683294034605426,0.61668455041054,0.20334261838440112,0.368,0.15368421052631578,0.3004115226337449,0.5399999999999999,1692,402,170,73,24
diffusion,4.0,43,3000,12000,0.18652727850432924,0.2941154205638182,0.6589216298969032,0.26392961876832843,0.3312368972746331,0.20501138952164008,0.37037037037037035,0.43999999999999995,1745,349,153,90,23
diffusion,4.0,44,3000,12000,0.1813208603945926,0.3423262968794772,0.5664842917840902,0.19230769230769232,0.3916083916083916,0.12067156348373557,0.4732510288065844,0.29,1256,838,128,115,14
diffusion,4.0,45,3000,12000,0.2779840747650858,0.28141580288005225,0.6073004979934833,0.21012416427889208,0.3435897435897436,0.13681592039800994,0.45267489711934156,0.38999999999999996,1400,694,133,110,13
diffusion,4.0,46,3000,12000,0.2893606685683897,0.32982800058183864,0.6552996804509061,0.3081155433287483,0.41762452107279696,0.23140495867768596,0.4609053497942387,0.6,1722,372,131,112,13
