modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
ruido,0.0,42,3000,0,0.33719085779422625,0.327552842447443,0.6265206095408791,0.27548209366391185,0.35269709543568467,0.4166666666666667,0.205761316872428,0.8699999999999999,2024,70,193,50,14
ruido,0.0,43,3000,0,0.2906026177587964,0.36485167222872633,0.637052365960357,0.296969696969697,0.42283298097251587,0.23501199040767387,0.40329218106995884,0.7799999999999999,1775,319,145,98,15
ruido,0.0,44,3000,0,0.16802453288665087,0.32348255875356574,0.5575070454089874,0.18872870249017037,0.3452631578947368,0.13846153846153847,0.2962962962962963,0.3499999999999999,1646,448,171,72,15
ruido,0.0,45,3000,0,0.11575354338854718,0.307423130131128,0.5148317159353984,0.17321016166281755,0.30843373493975906,0.12038523274478331,0.30864197530864196,0.20999999999999996,1546,548,168,75,16
ruido,0.0,46,3000,0,0.3100703286998421,0.32812474809841485,0.5874908124722409,0.2565597667638484,0.37168141592920356,0.44,0.18106995884773663,0.8499999999999999,2038,56,199,44,14
ruido,0.25,42,3000,750,0.3279879120687412,0.3211870271628764,0.612762900861171,0.2863961813842482,0.3548387096774194,0.3409090909090909,0.24691358024691357,0.7899999999999999,1978,116,183,60,13
ruido,0.25,43,3000,750,0.25802719992441153,0.36243094869963427,0.6414407615723545,0.2965986394557823,0.4277456647398844,0.22154471544715448,0.448559670781893,0.6699999999999999,1711,383,134,109,14
ruido,0.25,44,3000,750,0.22211419693689402,0.2985404850816177,0.5771968508888811,0.21461897356143078,0.3357664233576642,0.1725,0.2839506172839506,0.35999999999999993,1763,331,174,69,14
ruido,0.25,45,3000,750,0.16235586037835859,0.34418486050933045,0.6453358802929002,0.2319327731092437,0.39296187683284456,0.1457233368532207,0.5679012345679012,0.26999999999999996,1285,809,105,138,15
ruido,0.25,46,3000,750,0.32195277711896547,0.3257402206362446,0.6034427189579477,0.2897727272727273,0.3514644351464435,0.46788990825688076,0.20987654320987653,0.6599999999999999,2036,58,192,51,13
ruido,0.5,42,3000,1500,0.2227864771043549,0.25022941915537045,0.6073771426100832,0.23376623376623376,0.2950191570881226,0.17077798861480076,0.37037037037037035,0.22999999999999998,1657,437,153,90,16
ruido,0.5,43,3000,1500,0.1614436177844713,0.3337242753987242,0.6091222815726689,0.2011605415860735,0.28921568627450983,0.1897810218978102,0.2139917695473251,0.05,1872,222,191,52,21
ruido,0.5,44,3000,1500,0.22827285561543906,0.33314603785351077,0.5967471238616309,0.23695345557122707,0.37992831541218636,0.18025751072961374,0.345679012345679,0.59,1712,382,159,84,14
ruido,0.5,45,3000,1500,0.14247404140760023,0.2990446239260065,0.5773422791357632,0.11052631578947368,0.21902017291066284,0.15328467153284672,0.08641975308641975,0.06,1978,116,222,21,20
ruido,0.5,46,3000,1500,0.2562867268293216,0.29211299417408965,0.5720370959944344,0.1896551724137931,0.3091048201989288,0.11713455953533398,0.49794238683127573,0.4699999999999999,1182,912,122,121,13
ruido,1.0,42,3000,3000,0.27057472745033767,0.3046622254661812,0.6689365264659757,0.2976190476190476,0.3125,0.20938023450586266,0.51440329218107,0.09,1622,472,118,125,16
ruido,1.0,43,3000,3000,0.24090938028751258,0.3158595250603698,0.6766108143588776,0.2623723487824038,0.36,0.16213592233009708,0.6872427983539094,0.06,1231,863,76,167,16
ruido,1.0,44,3000,3000,0.23998384611855775,0.31550555057349033,0.5719280248092729,0.19829424307036247,0.36,0.13381294964028778,0.38271604938271603,0.35999999999999993,1492,602,150,93,14
ruido,1.0,45,3000,3000,0.12247285166978798,0.28155215953783913,0.547387990771202,0.0670391061452514,0.1875,0.10434782608695652,0.04938271604938271,0.05,1991,103,231,12,17
ruido,1.0,46,3000,3000,0.29355745272122663,0.3531277221535532,0.5866172603676583,0.30179028132992325,0.37815126050420167,0.39864864864864863,0.24279835390946503,0.6799999999999999,2005,89,184,59,13
